x,y,time
4.92,17.45,1569792934.6
4.91,17.49,1569792934.7
4.97,17.53,1569792934.8
4.97,17.56,1569792934.9
4.98,17.60,1569792935.0
4.97,17.61,1569792935.1
4.95,17.58,1569792935.2
4.93,17.55,1569792935.3
4.90,17.53,1569792935.4
4.89,17.49,1569792935.5
4.85,17.45,1569792935.6
4.78,17.47,1569792935.7
4.77,17.47,1569792935.8
4.82,17.45,1569792935.9
4.83,17.44,1569792936.0
4.79,17.46,1569792936.1
4.80,17.47,1569792936.2
4.87,17.44,1569792936.3
4.91,17.48,1569792936.4
4.88,17.50,1569792936.5
4.85,17.51,1569792936.6
4.86,17.50,1569792936.7
4.87,17.48,1569792936.8
4.87,17.46,1569792936.9
4.88,17.48,1569792937.0
4.91,17.47,1569792937.1
4.92,17.45,1569792937.2
4.95,17.45,1569792937.3
4.98,17.45,1569792937.4
4.94,17.46,1569792937.5
4.83,17.44,1569792937.6
4.80,17.46,1569792937.7
4.79,17.52,1569792937.8
4.97,17.57,1569792937.9
5.20,17.67,1569792938.0
5.52,17.77,1569792938.1
5.91,17.86,1569792938.2
6.25,17.94,1569792938.3
6.61,18.01,1569792938.4
6.84,18.10,1569792938.5
7.02,18.16,1569792938.6
7.20,18.20,1569792938.7
7.38,18.25,1569792938.8
7.56,18.30,1569792938.9
7.73,18.35,1569792939.0
7.92,18.40,1569792939.1
8.09,18.45,1569792939.2
8.27,18.49,1569792939.3
8.45,18.55,1569792939.4
8.63,18.60,1569792939.5
8.80,18.64,1569792939.6
8.98,18.69,1569792939.7
9.16,18.74,1569792939.8
9.34,18.79,1569792939.9
9.52,18.84,1569792940.0
9.69,18.89,1569792940.1
9.87,18.94,1569792940.2
10.05,18.99,1569792940.3
10.23,19.04,1569792940.4
10.41,19.09,1569792940.5
10.58,19.13,1569792940.6
10.76,19.18,1569792940.7
10.94,19.24,1569792940.8
11.12,19.28,1569792940.9
11.29,19.33,1569792941.0
11.47,19.38,1569792941.1
11.65,19.43,1569792941.2
11.83,19.48,1569792941.3
12.01,19.53,1569792941.4
